PSNR,SSIM,LPIPS,mask_type,mask_name,image_name,exp
13.681747436523438,0.24842894077301025,0.4594367742538452,vertical_stripe,vertical_stripe_k=8,woman_tending_garden.png,vanilla
11.709758758544922,0.5512501001358032,0.4237939119338989,vertical_stripe,vertical_stripe_k=8,view_mountains_lake.png,vanilla
13.855899810791016,0.4618568420410156,0.40567833185195923,vertical_stripe,vertical_stripe_k=8,field_red_flowers.png,vanilla
17.009241104125977,0.6469424962997437,0.27590879797935486,vertical_stripe,vertical_stripe_k=8,bowl_fruit_wooden.png,vanilla
16.0299129486084,0.5436302423477173,0.37726277112960815,vertical_stripe,vertical_stripe_k=8,blue_pink_toy.png,vanilla
16.675613403320312,0.6566213965415955,0.2998422384262085,vertical_stripe,vertical_stripe_k=8,watch_wrist.png,vanilla
15.065329551696777,0.7598503828048706,0.28464582562446594,vertical_stripe,vertical_stripe_k=8,row_rubber_ducks.png,vanilla
15.317004203796387,0.3647337555885315,0.4367292523384094,vertical_stripe,vertical_stripe_k=8,pizza_box_pizza.png,vanilla
14.677666664123535,0.25369781255722046,0.4289185702800751,vertical_stripe,vertical_stripe_k=8,rocky_beach_large.png,vanilla
20.13032341003418,0.49824899435043335,0.2835753262042999,vertical_stripe,vertical_stripe_k=8,lemon_blue_surface.png,vanilla
13.929815292358398,0.207871675491333,0.4854995608329773,vertical_stripe,vertical_stripe_k=2,woman_tending_garden.png,vanilla
18.1566162109375,0.652846097946167,0.3108576536178589,vertical_stripe,vertical_stripe_k=2,view_mountains_lake.png,vanilla
17.77240753173828,0.4817444682121277,0.33487212657928467,vertical_stripe,vertical_stripe_k=2,field_red_flowers.png,vanilla
23.654455184936523,0.6466997861862183,0.2658320665359497,vertical_stripe,vertical_stripe_k=2,bowl_fruit_wooden.png,vanilla
19.771169662475586,0.5672023296356201,0.343214750289917,vertical_stripe,vertical_stripe_k=2,blue_pink_toy.png,vanilla
21.542451858520508,0.7030336260795593,0.2474210411310196,vertical_stripe,vertical_stripe_k=2,watch_wrist.png,vanilla
21.095821380615234,0.8233098387718201,0.20026753842830658,vertical_stripe,vertical_stripe_k=2,row_rubber_ducks.png,vanilla
17.34501075744629,0.33920544385910034,0.4610401391983032,vertical_stripe,vertical_stripe_k=2,pizza_box_pizza.png,vanilla
16.500808715820312,0.22547900676727295,0.4299139380455017,vertical_stripe,vertical_stripe_k=2,rocky_beach_large.png,vanilla
23.532670974731445,0.48455381393432617,0.3036821782588959,vertical_stripe,vertical_stripe_k=2,lemon_blue_surface.png,vanilla
13.96750259399414,0.23278562724590302,0.4518195390701294,vertical_stripe,vertical_stripe_k=4,woman_tending_garden.png,vanilla
13.979498863220215,0.5808528065681458,0.4263044595718384,vertical_stripe,vertical_stripe_k=4,view_mountains_lake.png,vanilla
15.692934036254883,0.5010619163513184,0.3336626887321472,vertical_stripe,vertical_stripe_k=4,field_red_flowers.png,vanilla
23.51401710510254,0.6744195818901062,0.2224845439195633,vertical_stripe,vertical_stripe_k=4,bowl_fruit_wooden.png,vanilla
18.78639030456543,0.5731930136680603,0.32130593061447144,vertical_stripe,vertical_stripe_k=4,blue_pink_toy.png,vanilla
20.646684646606445,0.707406222820282,0.21919333934783936,vertical_stripe,vertical_stripe_k=4,watch_wrist.png,vanilla
19.2971134185791,0.8045777678489685,0.22626908123493195,vertical_stripe,vertical_stripe_k=4,row_rubber_ducks.png,vanilla
16.984140396118164,0.35947880148887634,0.4422264099121094,vertical_stripe,vertical_stripe_k=4,pizza_box_pizza.png,vanilla
16.46280288696289,0.25753068923950195,0.39861589670181274,vertical_stripe,vertical_stripe_k=4,rocky_beach_large.png,vanilla
21.35452651977539,0.48827195167541504,0.2965858280658722,vertical_stripe,vertical_stripe_k=4,lemon_blue_surface.png,vanilla
13.790586471557617,0.179324209690094,0.5257549285888672,vertical_stripe,vertical_stripe_k=1,woman_tending_garden.png,vanilla
19.034114837646484,0.6522399187088013,0.3399987816810608,vertical_stripe,vertical_stripe_k=1,view_mountains_lake.png,vanilla
18.127002716064453,0.4798358380794525,0.3264848291873932,vertical_stripe,vertical_stripe_k=1,field_red_flowers.png,vanilla
23.231311798095703,0.6058606505393982,0.36570632457733154,vertical_stripe,vertical_stripe_k=1,bowl_fruit_wooden.png,vanilla
20.149187088012695,0.5650781989097595,0.3687547445297241,vertical_stripe,vertical_stripe_k=1,blue_pink_toy.png,vanilla
22.1822452545166,0.7031652927398682,0.2848281264305115,vertical_stripe,vertical_stripe_k=1,watch_wrist.png,vanilla
22.23195457458496,0.8214879035949707,0.19915074110031128,vertical_stripe,vertical_stripe_k=1,row_rubber_ducks.png,vanilla
16.45395278930664,0.2885828912258148,0.5277698040008545,vertical_stripe,vertical_stripe_k=1,pizza_box_pizza.png,vanilla
16.81041717529297,0.2131342887878418,0.49119406938552856,vertical_stripe,vertical_stripe_k=1,rocky_beach_large.png,vanilla
23.77985382080078,0.48755425214767456,0.39037394523620605,vertical_stripe,vertical_stripe_k=1,lemon_blue_surface.png,vanilla
14.089249610900879,0.2019907683134079,0.4873146116733551,stochastic,stochastic_p=0.5_i=2,woman_tending_garden.png,vanilla
19.246957778930664,0.6627134084701538,0.3144254982471466,stochastic,stochastic_p=0.5_i=2,view_mountains_lake.png,vanilla
