PSNR,SSIM,LPIPS,mask_type,parameter_k,image_name
13.995287895202637,0.20654965937137604,0.4851996600627899,stochastic,stochastic_p=0.5_i=2,woman_tending_garden.png
19.10683250427246,0.6686275601387024,0.29430171847343445,stochastic,stochastic_p=0.5_i=2,view_mountains_lake.png
19.01713752746582,0.4979826509952545,0.30703872442245483,stochastic,stochastic_p=0.5_i=2,field_red_flowers.png
23.573949813842773,0.6471147537231445,0.280478835105896,stochastic,stochastic_p=0.5_i=2,bowl_fruit_wooden.png
20.87233543395996,0.5815158486366272,0.3264753222465515,stochastic,stochastic_p=0.5_i=2,blue_pink_toy.png
21.340539932250977,0.693770706653595,0.24899914860725403,stochastic,stochastic_p=0.5_i=2,watch_wrist.png
22.134830474853516,0.8295223116874695,0.20188401639461517,stochastic,stochastic_p=0.5_i=2,row_rubber_ducks.png
18.470067977905273,0.3664402961730957,0.44598475098609924,stochastic,stochastic_p=0.5_i=2,pizza_box_pizza.png
17.132301330566406,0.23257039487361908,0.41931384801864624,stochastic,stochastic_p=0.5_i=2,rocky_beach_large.png
24.340682983398438,0.5087938904762268,0.3306204080581665,stochastic,stochastic_p=0.5_i=2,lemon_blue_surface.png
13.710443496704102,0.19593346118927002,0.5016344785690308,stochastic,stochastic_p=0.5_i=1,woman_tending_garden.png
19.063018798828125,0.6692101955413818,0.3034825325012207,stochastic,stochastic_p=0.5_i=1,view_mountains_lake.png
19.239707946777344,0.4985330402851105,0.30017557740211487,stochastic,stochastic_p=0.5_i=1,field_red_flowers.png
23.515897750854492,0.6294824481010437,0.28441041707992554,stochastic,stochastic_p=0.5_i=1,bowl_fruit_wooden.png
20.41663360595703,0.5643178820610046,0.3510668873786926,stochastic,stochastic_p=0.5_i=1,blue_pink_toy.png
21.39312744140625,0.6990073323249817,0.2494911402463913,stochastic,stochastic_p=0.5_i=1,watch_wrist.png
21.479228973388672,0.8191348910331726,0.2139294445514679,stochastic,stochastic_p=0.5_i=1,row_rubber_ducks.png
18.240514755249023,0.3648494780063629,0.4370814263820648,stochastic,stochastic_p=0.5_i=1,pizza_box_pizza.png
17.373302459716797,0.24023549258708954,0.41624927520751953,stochastic,stochastic_p=0.5_i=1,rocky_beach_large.png
23.233062744140625,0.4971860945224762,0.3385300934314728,stochastic,stochastic_p=0.5_i=1,lemon_blue_surface.png
14.157835006713867,0.20639248192310333,0.4835894703865051,stochastic,stochastic_p=0.5_i=0,woman_tending_garden.png
18.494348526000977,0.6576067805290222,0.30639392137527466,stochastic,stochastic_p=0.5_i=0,view_mountains_lake.png
18.7569522857666,0.4929210841655731,0.3126988410949707,stochastic,stochastic_p=0.5_i=0,field_red_flowers.png
23.335403442382812,0.6451507210731506,0.2783103287220001,stochastic,stochastic_p=0.5_i=0,bowl_fruit_wooden.png
20.35628890991211,0.5672194361686707,0.3424108028411865,stochastic,stochastic_p=0.5_i=0,blue_pink_toy.png
21.367300033569336,0.6994892954826355,0.25818270444869995,stochastic,stochastic_p=0.5_i=0,watch_wrist.png
22.241554260253906,0.8351883888244629,0.18201157450675964,stochastic,stochastic_p=0.5_i=0,row_rubber_ducks.png
18.104595184326172,0.35917559266090393,0.4348984360694885,stochastic,stochastic_p=0.5_i=0,pizza_box_pizza.png
16.925914764404297,0.22587774693965912,0.44526198506355286,stochastic,stochastic_p=0.5_i=0,rocky_beach_large.png
23.469562530517578,0.49641337990760803,0.3327595889568329,stochastic,stochastic_p=0.5_i=0,lemon_blue_surface.png
14.059927940368652,0.2646040618419647,0.45027703046798706,col_slit,"col_slit_7,7",woman_tending_garden.png
18.337684631347656,0.6885226368904114,0.26387035846710205,col_slit,"col_slit_7,7",view_mountains_lake.png
16.94364356994629,0.5195721983909607,0.29367345571517944,col_slit,"col_slit_7,7",field_red_flowers.png
16.42343521118164,0.6172744035720825,0.2889755368232727,col_slit,"col_slit_7,7",bowl_fruit_wooden.png
18.531980514526367,0.5896463394165039,0.322038471698761,col_slit,"col_slit_7,7",blue_pink_toy.png
17.53059959411621,0.6840841770172119,0.26230722665786743,col_slit,"col_slit_7,7",watch_wrist.png
19.464893341064453,0.8385379910469055,0.22678223252296448,col_slit,"col_slit_7,7",row_rubber_ducks.png
16.3005313873291,0.38732433319091797,0.4116182029247284,col_slit,"col_slit_7,7",pizza_box_pizza.png
16.40714454650879,0.2667330801486969,0.38308513164520264,col_slit,"col_slit_7,7",rocky_beach_large.png
22.577695846557617,0.5295829772949219,0.24995404481887817,col_slit,"col_slit_7,7",lemon_blue_surface.png
13.971988677978516,0.2530991733074188,0.44010889530181885,col_slit,"col_slit_6,6",woman_tending_garden.png
16.56768798828125,0.6796568036079407,0.28117528557777405,col_slit,"col_slit_6,6",view_mountains_lake.png
16.936601638793945,0.5176241993904114,0.30010998249053955,col_slit,"col_slit_6,6",field_red_flowers.png
21.680891036987305,0.660868227481842,0.22886641323566437,col_slit,"col_slit_6,6",bowl_fruit_wooden.png
18.523983001708984,0.5596479773521423,0.3484039306640625,col_slit,"col_slit_6,6",blue_pink_toy.png
